X,Y,OBJECTID,Code,Power_Plant_Name,Utility_Name,Utility_ID,Sector_Name,City,County,State,Zip,Street_Address,PrimSource,Install_MW,Total_MW,Coal_MW,NG_MW,Crude_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Source_Desc,Technology_Desc,Data_Source,Period,Latitude,Longitude,Geoth_MW,Battery_MW,Others_MW,Biomass_MW
-122.745,38.777,1,286,Geysers Unit 5-20,Geysers Power Co LLC,7160,IPP Non-CHP,Middletown,Sonoma,California,95461,10350 Socrates Mine Road,geothermal,1163,578,0,0,0,0,0,0,0,0,Geothermal = 578MW,Geothermal,"EIA-860, EIA-860M and EIA-923",202001,38.777,-122.745,578,0,0,0
-112.8533,38.4889,2,299,Blundell,PacifiCorp,14354,Electric Utility,Milford,Beaver,Utah,84751,10 mi east of Highway 257,geothermal,44.8,34,0,0,0,0,0,0,0,0,Geothermal = 34MW,Geothermal,"EIA-860, EIA-860M and EIA-923",202001,38.4889,-112.8533,34,0,0,0
-122.7559,38.7903,3,510,Sonoma California Geothermal,Geysers Power Co LLC,7160,IPP Non-CHP,Middletown,Lake,California,95461,10350 Socrates Mine Road,geothermal,78,50,0,0,0,0,0,0,0,0,Geothermal = 50MW,Geothermal,"EIA-860, EIA-860M and EIA-923",202001,38.7903,-122.7559,50,0,0,0
-122.7677,38.8348,4,902,Bottle Rock Power,Bottle Rock Power LLC,56589,IPP Non-CHP,Cobb,Lake,California,95426,7385 High Valley Road,geothermal,55,9,0,0,0,0,0,0,0,0,Geothermal = 9MW,Geothermal,"EIA-860, EIA-860M and EIA-923",202001,38.8348,-122.7677,9,0,0,0
-122.7195,38.752,5,7368,Geothermal 1,Northern California Power Agny,40613,Electric Utility,Middletown,Sonoma,California,95461,12000 Ridge Road,geothermal,110,47,0,0,0,0,0,0,0,0,Geothermal = 47MW,Geothermal,"EIA-860, EIA-860M and EIA-923",202001,38.752,-122.7195,47,0,0,0
-122.7117,38.7492,6,7369,Geothermal 2,Northern California Power Agny,40613,Electric Utility,Middletown,Sonoma,California,95461,12000 Ridge Road,geothermal,110,66,0,0,0,0,0,0,0,0,Geothermal = 66MW,Geothermal,"EIA-860, EIA-860M and EIA-923",202001,38.7492,-122.7117,66,0,0,0
-118.953497,39.753999,7,10018,Desert Peak Power Plant,Ormat Nevada Inc,34691,IPP Non-CHP,Fernley,Lyon,Nevada,89406,"10750 I-80 East, Exit 65",geothermal,26,17.3,0,0,0,0,0,0,0,0,Geothermal = 17.3MW,Geothermal,"EIA-860, EIA-860M and EIA-923",202001,39.753999,-118.953497,17.3,0,0,0
-116.6175,40.5547,8,10287,Beowawe Power,Terra-Gen Operating Co-Geo,2782,IPP Non-CHP,Beowawe,Lander,Nevada,89821,1000 Power Plant Place,geothermal,20.6,14.1,0,0,0,0,0,0,0,0,Geothermal = 14.1MW,Geothermal,"EIA-860, EIA-860M and EIA-923",202001,40.5547,-116.6175,14.1,0,0,0
-118.9096,37.6455,9,10479,Ples I,Ormat Nevada Inc,34691,IPP Non-CHP,Mammoth Lakes,Mono,California,93546,85 Casa Diablo,geothermal,15,9.9,0,0,0,0,0,0,0,0,Geothermal = 9.9MW,Geothermal,"EIA-860, EIA-860M and EIA-923",202001,37.6455,-118.9096,9.9,0,0,0
-118.9143,37.6451,10,10480,Mammoth Pacific I,Ormat Nevada Inc,34691,IPP Non-CHP,Mammoth lakes,Mono,California,93546,85 Casa Diablo,geothermal,10,6.6,0,0,0,0,0,0,0,0,Geothermal = 6.6MW,Geothermal,"EIA-860, EIA-860M and EIA-923",202001,37.6451,-118.9143,6.6,0,0,0
