X,Y,OBJECTID,Code,Power_Plant_Name,Utility_Name,Utility_ID,Sector_Name,City,County,State,Zip,Street_Address,PrimSource,Install_MW,Total_MW,Coal_MW,NG_MW,Crude_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Source_Desc,Technology_Desc,Data_Source,Period,Latitude,Longitude,Geoth_MW,Battery_MW,Others_MW,Biomass_MW
-87.356823,33.458665,1,2,Bankhead Dam,Alabama Power Co,195,Electric Utility,Northport,Tuscaloosa,Alabama,35476,19001 Lock 17 Road,hydroelectric,53.9,53,0,0,0,53,0,0,0,0,Hydroelectric = 53 MW,Conventional Hydroelectric,"EIA-860, EIA-860M and EIA-923",202001,33.458665,-87.356823,0,0,0,0
-86.283056,32.583889,2,4,Walter Bouldin Dam,Alabama Power Co,195,Electric Utility,Wetumpka,Elmore,Alabama,36092,750 Bouldin Dam Road,hydroelectric,225,224.1,0,0,0,224.1,0,0,0,0,Hydroelectric = 224.1 MW,Conventional Hydroelectric,"EIA-860, EIA-860M and EIA-923",202001,32.583889,-86.283056,0,0,0,0
-86.0524,33.7845,3,11,H Neely Henry Dam,Alabama Power Co,195,Electric Utility,Ohatchee,Calhoun,Alabama,36271,1021 Ala Highway 144,hydroelectric,72.9,71.1,0,0,0,71.1,0,0,0,0,Hydroelectric = 71.1 MW,Conventional Hydroelectric,"EIA-860, EIA-860M and EIA-923",202001,33.7845,-86.0524,0,0,0,0
-87.4495,33.2553,4,12,Holt Dam,Alabama Power Co,195,Electric Utility,Tuscaloosa,Tuscaloosa,Alabama,35476,12117 Power Plant Road,hydroelectric,46.9,48,0,0,0,48,0,0,0,0,Hydroelectric = 48 MW,Conventional Hydroelectric,"EIA-860, EIA-860M and EIA-923",202001,33.2553,-87.4495,0,0,0,0
-86.2548,32.6189,5,13,Jordan Dam,Alabama Power Co,195,Electric Utility,Wetumpka,Elmore,Alabama,36092,6150Jordan Dam Lane,hydroelectric,100,129.2,0,0,0,129.2,0,0,0,0,Hydroelectric = 129.2 MW,Conventional Hydroelectric,"EIA-860, EIA-860M and EIA-923",202001,32.6189,-86.2548,0,0,0,0
-86.337547,33.425878,6,14,Logan Martin Dam,Alabama Power Co,195,Electric Utility,Vincent,Talladega,Alabama,35178,299 Logan Martin Road,hydroelectric,128.1,129,0,0,0,129,0,0,0,0,Hydroelectric = 129 MW,Conventional Hydroelectric,"EIA-860, EIA-860M and EIA-923",202001,33.425878,-86.337547,0,0,0,0
-86.5187,32.9633,7,15,Lay Dam,Alabama Power Co,195,Electric Utility,Clanton,Chilton,Alabama,35045,626 County Road 794,hydroelectric,177,180,0,0,0,180,0,0,0,0,Hydroelectric = 180 MW,Conventional Hydroelectric,"EIA-860, EIA-860M and EIA-923",202001,32.9633,-86.5187,0,0,0,0
-85.911442,32.680394,8,16,Martin Dam,Alabama Power Co,195,Electric Utility,Dadeville,Elmore,Alabama,36078,675 Overlook Drive,hydroelectric,210.6,182.1,0,0,0,182.1,0,0,0,0,Hydroelectric = 182.1 MW,Conventional Hydroelectric,"EIA-860, EIA-860M and EIA-923",202001,32.680394,-85.911442,0,0,0,0
-86.444892,32.806025,9,17,Mitchell Dam,Alabama Power Co,195,Electric Utility,Verbena,Coosa,Alabama,36091,2235 County Road 93,hydroelectric,170,163.1,0,0,0,163.1,0,0,0,0,Hydroelectric = 163.1 MW,Conventional Hydroelectric,"EIA-860, EIA-860M and EIA-923",202001,32.806025,-86.444892,0,0,0,0
-87.1077,33.9406,10,18,Lewis Smith Dam,Alabama Power Co,195,Electric Utility,Jasper,Walker,Alabama,35501,640 Powerhouse Road,hydroelectric,181,178,0,0,0,178,0,0,0,0,Hydroelectric = 178 MW,Conventional Hydroelectric,"EIA-860, EIA-860M and EIA-923",202001,33.9406,-87.1077,0,0,0,0
-85.887614,32.535436,11,19,Thurlow Dam,Alabama Power Co,195,Electric Utility,Tallassee,Elmore,Alabama,36078,249 Outer Drive,hydroelectric,91,79.9,0,0,0,79.9,0,0,0,0,Hydroelectric = 79.9 MW,Conventional Hydroelectric,"EIA-860, EIA-860M and EIA-923",202001,32.535436,-85.887614,0,0,0,0
-85.753806,34.172142,12,20,Weiss Dam,Alabama Power Co,195,Electric Utility,Leesburg,Cherokee,Alabama,35983,2500 County Road 20,hydroelectric,87.6,81,0,0,0,81,0,0,0,0,Hydroelectric = 81 MW,Conventional Hydroelectric,"EIA-860, EIA-860M and EIA-923",202001,34.172142,-85.753806,0,0,0,0
-85.8901,32.5743,13,21,Yates Dam,Alabama Power Co,195,Electric Utility,Tallassee,Elmore,Alabama,36078,County Road 44,hydroelectric,50.5,44,0,0,0,44,0,0,0,0,Hydroelectric = 44 MW,Conventional Hydroelectric,"EIA-860, EIA-860M and EIA-923",202001,32.5743,-85.8901,0,0,0,0
-120.953341,39.134259,14,34,Rollins,Nevada Irrigation District,13402,IPP Non-CHP,Colfax,Placer,California,95713,15531 Arrow Head Lane,hydroelectric,12.1,12.1,0,0,0,12.1,0,0,0,0,Hydroelectric = 12.1 MW,Conventional Hydroelectric,"EIA-860, EIA-860M and EIA-923",202001,39.134259,-120.953341,0,0,0,0
-87.399767,32.100881,15,38,Millers Ferry,USCE-Mobile District,27813,Electric Utility,Camden,Wilcox,Alabama,36726,1606 Powerhouse Road,hydroelectric,101.1,90,0,0,0,90,0,0,0,0,Hydroelectric = 90 MW,Conventional Hydroelectric,"EIA-860, EIA-860M and EIA-923",202001,32.100881,-87.399767,0,0,0,0
-86.393931,34.421272,16,48,Guntersville,Tennessee Valley Authority,18642,Electric Utility,Guntersville,Marshall,Alabama,35976,3464 Snow Point Rd.,hydroelectric,115.2,122.7,0,0,0,122.7,0,0,0,0,Hydroelectric = 122.7 MW,Conventional Hydroelectric,"EIA-860, EIA-860M and EIA-923",202001,34.421272,-86.393931,0,0,0,0
-87.3819,34.8069,17,49,Wheeler Dam,Tennessee Valley Authority,18642,Electric Utility,Town Creek,Lawrence,Alabama,35672,24455 Alabama Hwy 101,hydroelectric,404,398.2,0,0,0,398.2,0,0,0,0,Hydroelectric = 398.2 MW,Conventional Hydroelectric,"EIA-860, EIA-860M and EIA-923",202001,34.8069,-87.3819,0,0,0,0
-86.479469,31.4033,18,53,Gantt,PowerSouth Energy Cooperative,189,Electric Utility,Andalusia,Covington,Alabama,36421,28605 Powerhouse Road,hydroelectric,3,2.8,0,0,0,2.8,0,0,0,0,Hydroelectric = 2.8 MW,Conventional Hydroelectric,"EIA-860, EIA-860M and EIA-923",202001,31.4033,-86.479469,0,0,0,0
