X,Y,OBJECTID,Code,Power_Plant_Name,Utility_Name,Utility_ID,Sector_Name,City,County,State,Zip,Street_Address,PrimSource,Install_MW,Total_MW,Coal_MW,NG_MW,Crude_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Source_Desc,Technology_Desc,Data_Source,Period,Latitude,Longitude,Geoth_MW,Battery_MW,Others_MW,Biomass_MW
-88.0103,31.0069,1,3,Barry,Alabama Power Co,195,Electric Utility,Bucks,Mobile,Alabama,36512,North Highway 43,natural gas,2569.5,2386.9,1118.5,1268.4,0,0,0,0,0,0,"Coal = 1118.5 MW, Natural Gas = 1268.4 MW","Conventional Steam Coal; Natural Gas Fired Combined Cycle; Natural Gas Steam Turbine","EIA-860, EIA-860M and EIA-923",202001,31.0069,-88.0103,0,0,0,0
-85.9708,34.0128,2,7,Gadsden,Alabama Power Co,195,Electric Utility,Gadsden,Etowah,Alabama,35903,1000 Goodyear Ave,natural gas,138,130,0,130,0,0,0,0,0,0,Natural Gas = 130 MW,Natural Gas Steam Turbine,"EIA-860, EIA-860M and EIA-923",202001,34.0128,-85.9708,0,0,0,0
-106.375,31.7569,3,9,Copper,El Paso Electric Co,5701,Electric Utility,El Paso,El Paso,Texas,79915,651 Hawkins Blvd.,natural gas,86.9,63,0,63,0,0,0,0,0,0,Natural Gas = 63 MW,Natural Gas Fired Combustion Turbine,"EIA-860, EIA-860M and EIA-923",202001,31.7569,-106.375,0,0,0,0
-87.7811,32.6017,4,10,Greene County,Alabama Power Co,195,Electric Utility,Demopolis,Greene,Alabama,36732,Highway 43,natural gas,1288.4,1256.1,0,1256.1,0,0,0,0,0,0,Natural Gas = 1256.1 MW,"Natural Gas Fired Combustion Turbine; Natural Gas Steam Turbine;","EIA-860, EIA-860M and EIA-923",202001,32.6017,-87.7811,0,0,0,0
-86.458056,33.244211,5,26,E C Gaston,Alabama Power Co,195,Electric Utility,Wilsonville,Shelby,Alabama,35186,31972 Highway 25 North,natural gas,2034,1868,832,1020,16,0,0,0,0,0,"Coal = 832 MW, Natural Gas = 1020 MW, Petroleum = 16 MW","Conventional Steam Coal; Natural Gas Steam Turbine; Petroleum Liquids","EIA-860, EIA-860M and EIA-923",202001,33.244211,-86.458056,0,0,0,0
-94.4178,44.0501,6,30,Madelia,City of Madelia - (MN),29305,Electric Utility,City of Madelia,Watonwan,Minnesota,56062,24 Abbot Ave. S.W.,natural gas,11.8,10.3,0,10.3,0,0,0,0,0,0,Natural Gas = 10.3 MW,Natural Gas Internal Combustion Engine,"EIA-860, EIA-860M and EIA-923",202001,44.0501,-94.4178,0,0,0,0
-87.8486,34.7439,7,47,Colbert,Tennessee Valley Authority,18642,Electric Utility,Tuscumbia,Colbert,Alabama,35674,900 Steam Plant Rd.,natural gas,476,363.2,0,363.2,0,0,0,0,0,0,Natural Gas = 363.2 MW,Natural Gas Fired Combustion Turbine,"EIA-860, EIA-860M and EIA-923",202001,34.7439,-87.8486,0,0,0,0
-84.1017,37.8833,8,54,J K Smith,"East Kentucky Power Coop, Inc",5580,Electric Utility,Winchester,Clark,Kentucky,40391,12145 Irvine Road,natural gas,1055,784,0,784,0,0,0,0,0,0,Natural Gas = 784 MW,Natural Gas Fired Combustion Turbine,"EIA-860, EIA-860M and EIA-923",202001,37.8833,-84.1017,0,0,0,0
-149.8661,61.2221,9,75,Anchorage 1,Anchorage Municipal Light and Power,599,Electric Utility,Anchorage,Anchorage,Alaska,99501,821 E. 1st Ave,natural gas,77.9,62.4,0,60.4,2,0,0,0,0,0,"Natural Gas = 60.4 MW, Petroleum = 2 MW","Natural Gas Fired Combustion Turbine; Petroleum Liquids;","EIA-860, EIA-860M and EIA-923",202001,61.2221,-149.8661,0,0,0,0
-151.0356,61.1861,10,96,Beluga,Chugach Electric Assn Inc,3522,Electric Utility,Beluga,Kenai Peninsula,Alaska,99682,Beluga Power Plant,natural gas,312.4,300.4,0,300.4,0,0,0,0,0,0,Natural Gas = 300.4 MW,Natural Gas Fired Combustion Turbine,"EIA-860, EIA-860M and EIA-923",202001,61.1861,-151.0356,0,0,0,0
