X,Y,OBJECTID,Code,Power_Plant_Name,Utility_Name,Utility_ID,Sector_Name,City,County,State,Zip,Street_Address,PrimSource,Install_MW,Total_MW,Coal_MW,NG_MW,Crude_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Source_Desc,Technology_Desc,Data_Source,Period,Latitude,Longitude,Geoth_MW,Battery_MW,Others_MW,Biomass_MW
-87.1189,34.7042,1,46,Browns Ferry,Tennessee Valley Authority,18642,Electric Utility,Decatur,Limestone,Alabama,35609,Shaw Rd. PO Box 2000,nuclear,3494,3774.4,0,0,0,0,0,3774.4,0,0,Nuclear = 3774.4 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,34.7042,-87.1189,0,0,0,0
-88.8339,40.1719,2,204,Clinton Power Station,Exelon Nuclear,55951,IPP Non-CHP,Clinton,DeWitt,Illinois,61727,Rt. 54 West,nuclear,1138.3,1065,0,0,0,0,0,1065,0,0,Nuclear = 1065 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,40.1719,-88.8339,0,0,0,0
-95.68978,38.23926,3,210,Wolf Creek Generating Station,Wolf Creek Nuclear Optg Corp,20893,Electric Utility,Burlington,Coffey,Kansas,66839,1550 Oxen Lane N.E.,nuclear,1267.7,1225,0,0,0,0,0,1225,0,0,Nuclear = 1225 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,38.23926,-95.68978,0,0,0,0
-119.3339,46.4711,4,371,Columbia Generating Station,Energy Northwest,20160,Electric Utility,Richland,Benton,Washington,99352,PO Box 968,nuclear,1200,1163,0,0,0,0,0,1163,0,0,Nuclear = 1163 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,46.4711,-119.3339,0,0,0,0
-72.1677,41.3107,5,566,Millstone,Dominion Energy Nuclear Conn Inc,5221,IPP Non-CHP,Waterford,New London,Connecticut,6385,Route 156 Rope Ferry Road,nuclear,2162.9,2073.1,0,0,0,0,0,2073.1,0,0,Nuclear = 2073.1 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,41.3107,-72.1677,0,0,0,0
-80.3308,25.4356,6,621,Turkey Point,Florida Power & Light Co,6452,Electric Utility,Homestead,Miami Dade,Florida,33035,9700 SW 344th Street,nuclear,2861.2,2911,0,1253,0,0,0,1658,0,0,"Natural Gas = 1253 MW,Nuclear = 1658 MW","Natural Gas Fired Combined Cycle; Nuclear;","EIA-860, EIA-860M and EIA-923",202001,25.4356,-80.3308,0,0,0,0
-81.7625,33.1427,7,649,Vogtle,Georgia Power Co,7140,Electric Utility,Waynesboro,Burke,Georgia,30830,7821 River Road,nuclear,2320,2302,0,0,0,0,0,2302,0,0,Nuclear = 2302 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,33.1427,-81.7625,0,0,0,0
-88.27,41.39,8,869,Dresden Generating Station,Exelon Nuclear,55951,IPP Non-CHP,Morris,Grundy,Illinois,60450,12RR1 Morris,nuclear,2018.6,1797,0,0,0,0,0,1797,0,0,Nuclear = 1797 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,41.39,-88.27,0,0,0,0
-90.310278,41.726111,9,880,Quad Cities Generating Station,Exelon Nuclear,55951,IPP Non-CHP,Cordova,Rock Island,Illinois,61242,22710 206 Ave N,nuclear,2018.6,1819,0,0,0,0,0,1819,0,0,Nuclear = 1819 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,41.726111,-90.310278,0,0,0,0
-91.7781,42.1011,10,1060,Duane Arnold Energy Center,NextEra Energy Duane Arnold LLC,55269,IPP Non-CHP,Palo,Linn,Iowa,52324,3277 DAEC Rd,nuclear,679.5,601.4,0,0,0,0,0,601.4,0,0,Nuclear = 601.4 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,42.1011,-91.7781,0,0,0,0
-86.3146,42.323,11,1715,Palisades,Entergy Nuclear Palisades LLC,56192,IPP Non-CHP,Covert,Van Buren,Michigan,49043,27780 Blue Star Memorial Hwy.,nuclear,811.8,771.6,0,0,0,0,0,771.6,0,0,Nuclear = 771.6 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,42.323,-86.3146,0,0,0,0
-83.2581,41.9631,12,1729,Fermi,DTE Electric Company,5109,Electric Utility,Frenchtown Twp,Monroe,Michigan,48166,6400 N Dixie Hwy,nuclear,1281,1192,0,0,51,0,0,1141,0,0,"Nuclear = 1141 MW, Petroleum = 51 MW","Nuclear; Petroleum Liquids;","EIA-860, EIA-860M and EIA-923",202001,41.9631,-83.2581,0,0,0,0
-93.8493,45.3338,13,1922,Monticello Nuclear Facility,Northern States Power Co - Minnesota,13781,Electric Utility,Monticello,Wright,Minnesota,55362,2807 W. County Rd 75,nuclear,685,617,0,0,0,0,0,617,0,0,Nuclear = 617 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,45.3338,-93.8493,0,0,0,0
-92.6333,44.622,14,1925,Prairie Island,Northern States Power Co - Minnesota,13781,Electric Utility,Welch,Goodhue,Minnesota,55066,1717 Wakonade Dr. East,nuclear,1186.2,1040,0,0,0,0,0,1040,0,0,Nuclear = 1040 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,44.622,-92.6333,0,0,0,0
-75.5358,39.4625,15,2410,PSEG Salem Generating Station,PSEG Nuclear LLC,15478,IPP Non-CHP,Hancocks Bridge,Salem,New Jersey,8038,P O Box 236 End of Buttonwood,nuclear,2381.8,2333.5,0,0,38.4,0,0,2295.1,0,0,"Nuclear = 2295.1 MW, Petroleum = 38.4 MW","Nuclear; Petroleum Liquids;","EIA-860, EIA-860M and EIA-923",202001,39.4625,-75.5358,0,0,0,0
-73.9527,41.270556,16,2497,Indian Point 2,Entergy Nuclear Indian Point 2,6027,IPP Non-CHP,Buchanan,Westchester,New York,10511,Broadway & Bleakley Ave,nuclear,1299,1016.1,0,0,0,0,0,1016.1,0,0,Nuclear = 1016.1 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,41.270556,-73.9527,0,0,0,0
-76.41,43.5211,17,2589,Nine Mile Point Nuclear Station,Exelon Nuclear,55951,IPP Non-CHP,Lycoming,Oswego,New York,13093,PO Box 63,nuclear,1901.1,1916.6,0,0,0,0,0,1916.6,0,0,Nuclear = 1916.6 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,43.5211,-76.41,0,0,0,0
-76.268742,39.758936,18,3166,Peach Bottom,Exelon Nuclear,55951,IPP Non-CHP,Delta,York,Pennsylvania,17314,1840 Lay Road,nuclear,2876.4,2450.4,0,0,0,0,0,2450.4,0,0,Nuclear = 2450.4 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,39.758936,-76.268742,0,0,0,0
-80.1589,34.4017,19,3251,H B Robinson,Duke Energy Progress - (NC),3046,Electric Utility,Hartsville,Darlington,South Carolina,29550,3581 West Entrance Road,nuclear,768.6,741,0,0,0,0,0,741,0,0,Nuclear = 741 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,34.4017,-80.1589,0,0,0,0
-82.8986,34.7939,20,3265,Oconee,"Duke Energy Carolinas, LLC",5416,Electric Utility,Seneca,Oconee,South Carolina,29672,7800 Rochester Hwy,nuclear,2666.7,2554,0,0,0,0,0,2554,0,0,Nuclear = 2554 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,34.7939,-82.8986,0,0,0,0
-76.6986,37.1661,21,3806,Surry,Virginia Electric & Power Co,19876,Electric Utility,Surry,Surry,Virginia,23883,5570 Hog Island Road,nuclear,1695,1676,0,0,0,0,0,1676,0,0,Nuclear = 1676 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,37.1661,-76.6986,0,0,0,0
-87.5369,44.2806,22,4046,Point Beach Nuclear Plant,NextEra Energy Point Beach LLC,55906,IPP Non-CHP,Two Rivers,Manitowoc,Wisconsin,54241,6610 Nuclear Road,nuclear,1311,1216.1,0,0,15,0,0,1201.1,0,0,"Nuclear = 1201.1 MW, Petroleum = 15 MW","Nuclear; Petroleum Liquids;","EIA-860, EIA-860M and EIA-923",202001,44.2806,-87.5369,0,0,0,0
-90.471581,29.995267,23,4270,Waterford 3,Entergy Louisiana LLC,11241,Electric Utility,Killona,St Charles,Louisiana,70057,17265 River Road Hwy 18,nuclear,1199.8,1165.4,0,0,0,0,0,1165.4,0,0,Nuclear = 1165.4 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,29.995267,-90.471581,0,0,0,0
-86.565206,41.975604,24,6000,Donald C Cook,Indiana Michigan Power Co,9324,Electric Utility,Bridgman,Berrien,Michigan,49106,Red Arrow Highway,nuclear,2285.3,2177,0,0,0,0,0,2177,0,0,Nuclear = 2177 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,41.975604,-86.565206,0,0,0,0
-85.1116,31.2231,25,6001,Joseph M Farley,Alabama Power Co,195,Electric Utility,Columbia,Houston,Alabama,36319,7388 North State Highway 95,nuclear,1776.4,1751,0,0,0,0,0,1751,0,0,Nuclear = 1751 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,31.2231,-85.1116,0,0,0,0
-112.8617,33.3881,26,6008,Palo Verde,Arizona Public Service Co,803,Electric Utility,Wintersburg,Maricopa,Arizona,85036,Wintersburg Road,nuclear,4209.6,3937,0,0,0,0,0,3937,0,0,Nuclear = 3937 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,33.3881,-112.8617,0,0,0,0
-76.4417,38.4344,27,6011,Calvert Cliffs Nuclear Power Plant,Exelon Nuclear,55951,IPP Non-CHP,Lusby,Calvert,Maryland,20657,1650 Calvert Cliffs Parkway,nuclear,1828.7,1725.8,0,0,0,0,0,1725.8,0,0,Nuclear = 1725.8 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,38.4344,-76.4417,0,0,0,0
