X,Y,OBJECTID,Code,Power_Plant_Name,Utility_Name,Utility_ID,Sector_Name,City,County,State,Zip,Street_Address,PrimSource,Install_MW,Total_MW,Coal_MW,NG_MW,Crude_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Source_Desc,Technology_Desc,Data_Source,Period,Latitude,Longitude,Geoth_MW,Battery_MW,Others_MW,Biomass_MW
-134.4174,58.3107,1,63,Gold Creek,Alaska Electric Light&Power Co,213,Electric Utility,Juneau,Juneau,Alaska,99801,700 Capital Ave.,petroleum,9.7,9.7,0,0,8.1,1.6,0,0,0,0,"Hydroelectric = 1.6 MW, Petroleum = 8.1 MW","Conventional Hydroelectric; Petroleum Liquids;","EIA-860, EIA-860M and EIA-923",202001,58.3107,-134.4174,0,0,0,0
-134.4953,58.3536,2,64,Lemon Creek,Alaska Electric Light&Power Co,213,Electric Utility,Juneau,Juneau,Alaska,99801,5601 Tonsgard Ct.,petroleum,61.7,57.5,0,0,57.5,0,0,0,0,0,Petroleum = 57.5 MW,Petroleum Liquids,"EIA-860, EIA-860M and EIA-923",202001,58.3536,-134.4953,0,0,0,0
-135.3131,59.4545,3,66,Skagway,Alaska Power and Telephone Co,219,Electric Utility,Skagway,Skagway Hoonah Angoon,Alaska,99840,110 Spring St,petroleum,4.4,4.4,0,0,3.4,1,0,0,0,0,"Hydroelectric = 1 MW, Petroleum = 3.4 MW","Conventional Hydroelectric; Petroleum Liquids;","EIA-860, EIA-860M and EIA-923",202001,59.4545,-135.3131,0,0,0,0
-135.446228,59.235931,4,69,Haines,Alaska Power and Telephone Co,219,Electric Utility,Haines,Haines,Alaska,99927,241 Dalton St.,petroleum,8.1,8.1,0,0,8.1,0,0,0,0,0,Petroleum = 8.1 MW,Petroleum Liquids,"EIA-860, EIA-860M and EIA-923",202001,59.235931,-135.446228,0,0,0,0
-131.69696,55.357397,5,85,S W Bailey,Ketchikan Public Utilities,10210,Electric Utility,Ketchikan,Ketchikan Gateway,Alaska,99901,3935 Tongass Ave.,petroleum,25.9,23,0,0,23,0,0,0,0,0,Petroleum = 23 MW,Petroleum Liquids,"EIA-860, EIA-860M and EIA-923",202001,55.357397,-131.69696,0,0,0,0
-165.429814,64.505331,6,90,Snake River,Nome Joint Utility Systems,13642,Electric Utility,Nome,Nome,Alaska,99762,1226 Port Road,petroleum,19.2,19,0,0,16.4,0,0,0,0,2.6,"Petroleum = 16.4 MW, Wind = 2.6 MW","Petroleum Liquids; Onshore Wind Turbine;","EIA-860, EIA-860M and EIA-923",202001,64.505331,-165.429814,0,0,0,0
-132.957091,56.81104,7,91,Petersburg,Petersburg Borough - (AK),14856,Electric Utility,Petersburg,Wrangell Petersburg,Alaska,99833,11 S. Nordic Drive,petroleum,14.5,12.4,0,0,10.8,1.6,0,0,0,0,"Hydroelectric = 1.6 MW, Petroleum = 10.8 MW","Conventional Hydroelectric; Petroleum Liquids;","EIA-860, EIA-860M and EIA-923",202001,56.81104,-132.957091,0,0,0,0
-149.43501,60.130922,8,92,Seward (AK),City of Seward - (AK),16955,Electric Utility,Seward,Kenai Peninsula,Alaska,99664,605 SeaLion Avenue,petroleum,15.6,15.6,0,0,15.6,0,0,0,0,0,Petroleum = 15.6 MW,Petroleum Liquids,"EIA-860, EIA-860M and EIA-923",202001,60.130922,-149.43501,0,0,0,0
-132.379439,56.460976,9,95,Wrangell,City of Wrangell - (AK),21015,Electric Utility,Wrangell,Wrangell Petersburg,Alaska,99929,1043 Case Ave,petroleum,8.5,8.5,0,0,8.5,0,0,0,0,0,Petroleum = 8.5 MW,Petroleum Liquids,"EIA-860, EIA-860M and EIA-923",202001,56.460976,-132.379439,0,0,0,0
-158.468597,59.042914,10,109,Dillingham,"Nushagak Electric Coop, Inc",13870,Electric Utility,Dillingham,Dillingham,Alaska,99576,557 Kenny Wren Rd.,petroleum,6.6,6.6,0,0,6.6,0,0,0,0,0,Petroleum = 6.6 MW,Petroleum Liquids,"EIA-860, EIA-860M and EIA-923",202001,59.042914,-158.468597,0,0,0,0
-109.5538,31.364122,11,114,Douglas,Arizona Public Service Co,803,Electric Utility,Douglas,Cochise,Arizona,85607,Sulpher Spring Rd/Lawrence Ave,petroleum,26.1,15,0,0,15,0,0,0,0,0,Petroleum = 15 MW,Petroleum Liquids,"EIA-860, EIA-860M and EIA-923",202001,31.364122,-109.5538,0,0,0,0
-89.9689,35.705381,12,172,Osceola (AR),City of Osceola - (AR),14216,Electric Utility,Osceola,Mississippi,Arkansas,72370,303 W. Hale,petroleum,1.6,1.6,0,0,1.6,0,0,0,0,0,Petroleum = 1.6 MW,Petroleum Liquids,"EIA-860, EIA-860M and EIA-923",202001,35.705381,-89.9689,0,0,0,0
-90.1867,36.3858,13,193,Municipal Light,City of Piggott - (AR),15043,Electric Utility,Piggott,Clay,Arkansas,72454,Castleberry Street,petroleum,7.2,7.2,0,0,7.2,0,0,0,0,0,Petroleum = 7.2 MW,Petroleum Liquids,"EIA-860, EIA-860M and EIA-923",202001,36.3858,-90.1867,0,0,0,0
-142.99997,63.33552,14,406,Tok,Alaska Power and Telephone Co,219,Electric Utility,Tok,Southeast Fairbanks,Alaska,99780,Milepost 1314 AK Hwy,petroleum,5.3,5.4,0,0,5.4,0,0,0,0,0,Petroleum = 5.4 MW,Petroleum Liquids,"EIA-860, EIA-860M and EIA-923",202001,63.33552,-142.99997,0,0,0,0
