X,Y,OBJECTID,Code,Power_Plant_Name,Utility_Name,Utility_ID,Sector_Name,City,County,State,Zip,Street_Address,PrimSource,Install_MW,Total_MW,Coal_MW,NG_MW,Crude_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Source_Desc,Technology_Desc,Data_Source,Period,Latitude,Longitude,Geoth_MW,Battery_MW,Others_MW,Biomass_MW
-119.2567,37.147926,1,104,J S Eastwood,Southern California Edison Co,17609,Electric Utility,Shaver Lake,Fresno,California,93664,Hwy 168 Sierra National Forest,pumped storage,199.8,199.8,0,0,0,0,199.8,0,0,0,Pumped Storage = 199.8 MW,Hydroelectric Pumped Storage,"EIA-860, EIA-860M and EIA-923",202001,37.147926,-119.2567,0,0,0,0
-111.344,33.5907,2,145,Horse Mesa,Salt River Project,16572,Electric Utility,Apache Junction,Maricopa,Arizona,85119,20909 E. Apache Trail,pumped storage,129.5,149,0,0,0,30,119,0,0,0,"Pumped Storage = 119 MW,Hydroelectric = 30 MW","Hydroelectric Pumped Storage; Conventional Hydroelectric;","EIA-860, EIA-860M and EIA-923",202001,33.5907,-111.344,0,0,0,0
-111.4431,33.5536,3,148,Mormon Flat,Salt River Project,16572,Electric Utility,Apache Junction,Maricopa,Arizona,85119,29600 E. Apache Trail,pumped storage,63.5,68.8,0,0,0,11.5,57.3,0,0,0,"Pumped Storage = 57.3 MW,Hydroelectric = 11.5 MW","Hydroelectric Pumped Storage; Conventional Hydroelectric;","EIA-860, EIA-860M and EIA-923",202001,33.5536,-111.4431,0,0,0,0
-118.656638,34.587237,4,392,Castaic,Los Angeles Department of Water & Power,11208,Electric Utility,Castaic,Los Angeles,California,91384,37700 Templin Hwy,pumped storage,1682,1674.5,0,0,0,51.5,1623,0,0,0,"Pumped Storage = 1623 MW,Hydroelectric = 51.5 MW","Hydroelectric Pumped Storage; Conventional Hydroelectric;","EIA-860, EIA-860M and EIA-923",202001,34.587237,-118.656638,0,0,0,0
-121.630077,39.514893,5,438,Thermalito,California Dept. of Water Resources,3255,Electric Utility,Oroville,Butte,California,95966,460 Glen Dr.,pumped storage,115.1,115.1,0,0,0,32.6,82.5,0,0,0,"Pumped Storage = 82.5 MW,Hydroelectric = 32.6 MW","Hydroelectric Pumped Storage; Conventional Hydroelectric;","EIA-860, EIA-860M and EIA-923",202001,39.514893,-121.630077,0,0,0,0
-121.047718,37.098671,6,446,ONeill,U S Bureau of Reclamation,2518,Electric Utility,Los Banos,Merced,California,95376,n/a,pumped storage,25.2,14.4,0,0,0,0,14.4,0,0,0,Pumped Storage = 14.4 MW,Hydroelectric Pumped Storage,"EIA-860, EIA-860M and EIA-923",202001,37.098671,-121.047718,0,0,0,0
-121.0772,37.0692,7,448,W R Gianelli,California Dept. of Water Resources,3255,Electric Utility,Gustine,Merced,California,95322,31770 Gonzaga Rd.,pumped storage,424,401,0,0,0,0,401,0,0,0,Pumped Storage = 401 MW,Hydroelectric Pumped Storage,"EIA-860, EIA-860M and EIA-923",202001,37.0692,-121.0772,0,0,0,0
-105.7088,39.6551,8,467,Cabin Creek,Public Service Co of Colorado,15466,Electric Utility,Georgetown,Clear Creek,Colorado,80444,5167 Guanella Pass Road,pumped storage,300,324,0,0,0,0,324,0,0,0,Pumped Storage = 324 MW,Hydroelectric Pumped Storage,"EIA-860, EIA-860M and EIA-923",202001,39.6551,-105.7088,0,0,0,0
-73.4349,41.5826,9,539,Rocky River (CT),FirstLight Power Resources Services LLC,54895,IPP Non-CHP,New Milford,Litchfield,Connecticut,6776,200 Kent Road,pumped storage,31,29.4,0,0,0,0,29.4,0,0,0,Pumped Storage = 29.4 MW,Hydroelectric Pumped Storage,"EIA-860, EIA-860M and EIA-923",202001,41.5826,-73.4349,0,0,0,0
-72.471643,42.610683,10,547,Northfield Mountain,"FirstLight Power Resources, Inc. - MA",58185,IPP Non-CHP,Northfield,Franklin,Massachusetts,1360,99 Millers Falls Road,pumped storage,1168,1168,0,0,0,0,1168,0,0,0,Pumped Storage = 1168 MW,Hydroelectric Pumped Storage,"EIA-860, EIA-860M and EIA-923",202001,42.610683,-72.471643,0,0,0,0
-86.4447,43.8942,11,1713,Ludington,Consumers Energy Co,4254,Electric Utility,Ludington,Mason,Michigan,49431,3525 S. Lakeshore Dr.,pumped storage,1978.8,2231,0,0,0,0,2231,0,0,0,Pumped Storage = 2231 MW,Hydroelectric Pumped Storage,"EIA-860, EIA-860M and EIA-923",202001,43.8942,-86.4447,0,0,0,0
-90.834722,37.520833,12,2108,Taum Sauk,Union Electric Co - (MO),19436,Electric Utility,Lesterville,Reynolds,Missouri,63620,Lesterville,pumped storage,408,440,0,0,0,0,440,0,0,0,Pumped Storage = 440 MW,Hydroelectric Pumped Storage,"EIA-860, EIA-860M and EIA-923",202001,37.520833,-90.834722,0,0,0,0
-74.4479,42.4423,13,2691,Blenheim Gilboa,New York Power Authority,15296,Electric Utility,Gilboa,Schoharie,New York,12076,397 Power Plant Access Rd,pumped storage,1000,1171.3,0,0,0,0,1171.3,0,0,0,Pumped Storage = 1171.3 MW,Hydroelectric Pumped Storage,"EIA-860, EIA-860M and EIA-923",202001,42.4423,-74.4479,0,0,0,0
-79.021958,43.142973,14,2692,Lewiston Niagara,New York Power Authority,15296,Electric Utility,Lewiston,Niagara,New York,14092,5777 Lewiston Road,pumped storage,240,240,0,0,0,0,240,0,0,0,Pumped Storage = 240 MW,Hydroelectric Pumped Storage,"EIA-860, EIA-860M and EIA-923",202001,43.142973,-79.021958,0,0,0,0
-84.177533,35.150864,15,2780,Hiwassee Dam,Tennessee Valley Authority,18642,Electric Utility,Murphy,Cherokee,North Carolina,28906,600 Powerhouse Road,pumped storage,165.6,173.7,0,0,0,87.7,86,0,0,0,"Pumped Storage = 86 MW,Hydroelectric = 87.7 MW","Hydroelectric Pumped Storage; Conventional Hydroelectric;","EIA-860, EIA-860M and EIA-923",202001,35.150864,-84.177533,0,0,0,0
-95.103558,36.264685,16,2982,Salina,Grand River Dam Authority,7490,Electric Utility,Salina,Mayes,Oklahoma,74365,620 S. 4437 RD,pumped storage,259.2,258,0,0,0,0,258,0,0,0,Pumped Storage = 258 MW,Hydroelectric Pumped Storage,"EIA-860, EIA-860M and EIA-923",202001,36.264685,-95.103558,0,0,0,0
-76.2993,39.8076,17,3164,Muddy Run,Exelon Power,6035,IPP Non-CHP,Drumore,Lancaster,Pennsylvania,17518,1925 River Road,pumped storage,1072,1070,0,0,0,0,1070,0,0,0,Pumped Storage = 1070 MW,Hydroelectric Pumped Storage,"EIA-860, EIA-860M and EIA-923",202001,39.8076,-76.2993,0,0,0,0
-82.9147,34.9594,18,3262,Jocassee,"Duke Energy Carolinas, LLC",5416,Electric Utility,Salem,Pickens,South Carolina,29676,Jocassee Lake Road,pumped storage,774,780,0,0,0,0,780,0,0,0,Pumped Storage = 780 MW,Hydroelectric Pumped Storage,"EIA-860, EIA-860M and EIA-923",202001,34.9594,-82.9147,0,0,0,0
-83.1574,33.3498,19,6087,Wallace Dam,Georgia Power Co,7140,Electric Utility,Eatonton,Hancock,Georgia,31024,Highway 16 East,pumped storage,321.2,328,0,0,0,114.8,213.2,0,0,0,"Pumped Storage = 213.2 MW,Hydroelectric = 114.8 MW","Hydroelectric Pumped Storage; Conventional Hydroelectric;","EIA-860, EIA-860M and EIA-923",202001,33.3498,-83.1574,0,0,0,0
-118.968252,37.029304,20,6100,Helms Pumped Storage,Pacific Gas & Electric Co.,14328,Electric Utility,Shaver Lake,Fresno,California,93664,67250 Helms Circle,pumped storage,1053,1212,0,0,0,0,1212,0,0,0,Pumped Storage = 1212 MW,Hydroelectric Pumped Storage,"EIA-860, EIA-860M and EIA-923",202001,37.029304,-118.968252,0,0,0,0
-81.3308,34.3061,21,6126,Fairfield Pumped Storage,"Dominion Energy South Carolina, Inc",17539,Electric Utility,Jenkinsville,Fairfield,South Carolina,29065,Bradham Boulevard off Hwy 215,pumped storage,587.2,576,0,0,0,0,576,0,0,0,Pumped Storage = 576 MW,Hydroelectric Pumped Storage,"EIA-860, EIA-860M and EIA-923",202001,34.3061,-81.3308,0,0,0,0
-84.6733,34.6121,22,6130,Carters,USCE-Mobile District,27813,Electric Utility,Chatsworth,Murray,Georgia,30705,975 Powerhouse Road,pumped storage,500,572,0,0,0,286,286,0,0,0,"Pumped Storage = 286 MW,Hydroelectric = 286 MW","Hydroelectric Pumped Storage; Conventional Hydroelectric;","EIA-860, EIA-860M and EIA-923",202001,34.6121,-84.6733,0,0,0,0
-82.5953,34.0256,23,6132,Richard B Russell,USCE-Savannah District,19375,Electric Utility,Elberton,Elbert,Georgia,30635,4144 Russell Dam Drive,pumped storage,628,664,0,0,0,336,328,0,0,0,"Pumped Storage = 328 MW,Hydroelectric = 336 MW","Hydroelectric Pumped Storage; Conventional Hydroelectric;","EIA-860, EIA-860M and EIA-923",202001,34.0256,-82.5953,0,0,0,0
