X,Y,OBJECTID,Code,Power_Plant_Name,Utility_Name,Utility_ID,Sector_Name,City,County,State,Zip,Street_Address,PrimSource,Install_MW,Total_MW,Coal_MW,NG_MW,Crude_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Source_Desc,Technology_Desc,Data_Source,Period,Latitude,Longitude,Geoth_MW,Battery_MW,Others_MW,Biomass_MW
-84.2981,38.9917,1,2830,Walter C Beckjord,Duke Energy Ohio Inc,3542,Electric Utility,New Richmond,Clermont,Ohio,45200,757 US Rt 52,batteries,4,4,0,0,0,0,0,0,0,0,Battery = 4 MW,Batteries,"EIA-860, EIA-860M and EIA-923",202001,38.9917,-84.2981,0,4,0,0
-117.774167,34.059444,2,50300,AltaGas Pomona Energy Inc.,AltaGas Pomona Energy Inc.,54736,IPP Non-CHP,Pomona,Los Angeles,California,91768,1507 Mount Vernon Ave.,batteries,20,20,0,0,0,0,0,0,0,0,Battery = 20 MW,Batteries,"EIA-860, EIA-860M and EIA-923",202001,34.059444,-117.774167,0,20,0,0
-79.070556,39.851389,3,55370,"Green Mountain Storage, LLC","Green Mountain Storage, LLC",6862,IPP Non-CHP,Garrett,Somerset,Pennsylvania,15542,226 Schrock Road,batteries,10.4,10.4,0,0,0,0,0,0,0,0,Battery = 10.4 MW,Batteries,"EIA-860, EIA-860M and EIA-923",202001,39.851389,-79.070556,0,10.4,0,0
-147.725,64.8167,4,57583,Battery Energy Storage System,Golden Valley Elec Assn Inc,7353,Electric Utility,Fairbanks,Fairbanks North Star,Alaska,99701,925 Bidwell Ave & 901 Bidwell,batteries,40,40,0,0,0,0,0,0,0,0,Battery = 40 MW,Batteries,"EIA-860, EIA-860M and EIA-923",202001,64.8167,-147.725,0,40,0,0
-152.404167,57.799167,5,58405,ESS Battery Microgrid,Kodiak Electric Assn Inc,10433,Electric Utility,Kodiak,Kodiak Island,Alaska,99615,891 Pillar Mountain Road,batteries,3,3,0,0,0,0,0,0,0,0,Battery = 3 MW,Batteries,"EIA-860, EIA-860M and EIA-923",202001,57.799167,-152.404167,0,3,0,0
-82.833056,40.260278,6,58475,Battery Utility of Ohio,Battery Utility of Ohio LLC,58462,IPP Non-CHP,Sunbury,Delaware,Ohio,43074,12666 Centerburg Rd,batteries,4,4,0,0,0,0,0,0,0,0,Battery = 4 MW,Batteries,"EIA-860, EIA-860M and EIA-923",202001,40.260278,-82.833056,0,4,0,0
-96.39,43.638611,7,58579,Laverne Battery,Northern States Power Co - Minnesota,13781,Electric Utility,Beaver Creek,Rock,Minnesota,56616,1056 40th Ave,batteries,1.1,1,0,0,0,0,0,0,0,0,Battery = 1 MW,Batteries,"EIA-860, EIA-860M and EIA-923",202001,43.638611,-96.39,0,1,0,0
-121.886944,37.719167,8,58625,Santa Rita Jail,County of Alameda GSA,58549,IPP CHP,Dublin,Alameda,California,94568,5325 Broder Blvd,batteries,4.9,4.9,0,1.4,0,0,0,0,1.5,0,"Battery = 2 MW, Natural Gas = 1.4 MW, Solar = 1.5 MW","Batteries; Other Natural Gas; Solar Photovoltaic","EIA-860, EIA-860M and EIA-923",202001,37.719167,-121.886944,0,2,0,0
-106.637222,35.001944,9,58899,Prosperity Energy Storage Facility Hybrid,Public Service Co of NM,15473,Electric Utility,Albuquerque,Bernalillo,New Mexico,87105,1100 Los Picaros Rd. SE,batteries,1.3,1.3,0,0,0,0,0,0,0.5,0,"Battery = 0.8 MW, Solar = 0.5 MW","Batteries; Solar Photovoltaic;","EIA-860, EIA-860M and EIA-923",202001,35.001944,-106.637222,0,0.8,0,0
-121.927778,38.393333,10,59256,Vaca Dixon Battery Storage System,Pacific Gas & Electric Co.,14328,Electric Utility,Vacaville,Solano,California,95688,5221 Quinn Rd.,batteries,2,2,0,0,0,0,0,0,0,0,Battery = 2 MW,Batteries,"EIA-860, EIA-860M and EIA-923",202001,38.393333,-121.927778,0,2,0,0
-121.755,37.305833,11,59257,Yerba Buena,Pacific Gas & Electric Co.,14328,Electric Utility,San Jose,Santa Clara,California,95135,3403 Yerba Buena Road,batteries,4,4,0,0,0,0,0,0,0,0,Battery = 4 MW,Batteries,"EIA-860, EIA-860M and EIA-923",202001,37.305833,-121.755,0,4,0,0
-118.38,35.123333,12,59661,Tehachapi Energy Storage Project,Southern California Edison Co,17609,Electric Utility,Tehachapi,Kern,California,93561,14025 E. Tehachapi Blvd,batteries,8,8,0,0,0,0,0,0,0,0,Battery = 8 MW,Batteries,"EIA-860, EIA-860M and EIA-923",202001,35.123333,-118.38,0,8,0,0
-94.571215,39.040263,13,59772,KCP&L SmartGrid Innovation Park,Evergy Metro,10000,Electric Utility,Kansas City,Jackson,Missouri,64110,4724 Tracy Avenue,batteries,1,1,0,0,0,0,0,0,0,0,Battery = 1 MW,Batteries,"EIA-860, EIA-860M and EIA-923",202001,39.040263,-94.571215,0,1,0,0
-78.745333,39.593075,14,59949,AES Warrior Run Energy Storage Project,AES Tait LLC,59712,IPP Non-CHP,Cumberland,Allegany,Maryland,21502,11600 Mexico Farms Road,batteries,11,5,0,0,0,0,0,0,0,0,Battery = 5 MW,Batteries,"EIA-860, EIA-860M and EIA-923",202001,39.593075,-78.745333,0,5,0,0
-88.6836,41.2269,15,59957,Grand Ridge Battery Projects,Invenergy Services LLC,49893,IPP Non-CHP,Marseilles,LaSalle,Illinois,61341,2191 East 25th Rd,batteries,33,33,0,0,0,0,0,0,0,0,Battery = 33 MW,Batteries,"EIA-860, EIA-860M and EIA-923",202001,41.2269,-88.6836,0,33,0,0
-88.222718,41.896873,16,59959,Elwood Energy Storage Center,West Chicago Battery Storage LLC,59718,IPP Non-CHP,West Chicago,DuPage,Illinois,60185,777 Pilsen Road,batteries,19.8,19.8,0,0,0,0,0,0,0,0,Battery = 19.8 MW,Batteries,"EIA-860, EIA-860M and EIA-923",202001,41.896873,-88.222718,0,19.8,0,0
-88.108757,41.488679,17,59960,Jake Energy Storage Center,Joliet Battery Storage LLC,59717,IPP Non-CHP,Joliet,Will,Illinois,60436,1251 Brandon Road,batteries,19.8,19.8,0,0,0,0,0,0,0,0,Battery = 19.8 MW,Batteries,"EIA-860, EIA-860M and EIA-923",202001,41.488679,-88.108757,0,19.8,0,0
-82.1256,38.3622,18,59995,AEP Milton NaS,Appalachian Power Co,733,Electric Utility,Milton,Cabell,West Virginia,25541,2900 E Mud River Rd,batteries,2,2,0,0,0,0,0,0,0,0,Battery = 2 MW,Batteries,"EIA-860, EIA-860M and EIA-923",202001,38.3622,-82.1256,0,2,0,0
