X,Y,OBJECTID,Code,Power_Plant_Name,Utility_Name,Utility_ID,Sector_Name,City,County,State,Zip,Street_Address,PrimSource,Install_MW,Total_MW,Coal_MW,NG_MW,Crude_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Source_Desc,Technology_Desc,Data_Source,Period,Latitude,Longitude,Geoth_MW,Battery_MW,Others_MW,Biomass_MW
-118.111059,48.620336,1,550,Kettle Falls Generating Station,Avista Corp,20169,Electric Utility,Kettle Falls,Stevens,Washington,99141,1151 Hyw. 395 N.,biomass,57.9,56.2,0,6.2,0,0,0,0,0,0,"Biomass = 50 MW, Natural Gas = 6.2 MW","Wood/Wood Waste Biomass; Natural Gas Fired Combustion Turbine;","EIA-860, EIA-860M and EIA-923",202001,48.620336,-118.111059,0,0,0,50
-73.208056,44.4917,2,589,J C McNeil,City of Burlington Electric - (VT),2548,Electric Utility,Burlington,Chittenden,Vermont,5401,111 Intervale Road,biomass,59.5,52,0,0,0,0,0,0,0,0,Biomass = 52 MW,Wood/Wood Waste Biomass,"EIA-860, EIA-860M and EIA-923",202001,44.4917,-73.208056,0,0,0,52
-88.4558,46.7553,3,1772,John H Warden,L'Anse Warden Electric Company LLC,56133,IPP Non-CHP,L'Anse,Baraga,Michigan,49946,157 S Main St,biomass,18.7,17.7,0,0,0,0,0,0,0,0,Biomass = 17.7 MW,Wood/Wood Waste Biomass,"EIA-860, EIA-860M and EIA-923",202001,46.7553,-88.4558,0,0,0,17.7
-92.151711,46.735331,4,1897,M L Hibbard,"ALLETE, Inc.",12647,Commercial CHP,Duluth,St Louis,Minnesota,55807,4913 Main Street,biomass,72.8,59.8,0,0,0,0,0,0,0,0,Biomass = 59.8 MW,Wood/Wood Waste Biomass,"EIA-860, EIA-860M and EIA-923",202001,46.735331,-92.151711,0,0,0,59.8
-92.516912,44.5692,5,1926,Red Wing,Northern States Power Co - Minnesota,13781,Electric Utility,Red Wing,Goodhue,Minnesota,55901,801 5th st. East,biomass,23,18,0,0,0,0,0,0,0,0,Biomass = 18 MW,Municipal Solid Waste,"EIA-860, EIA-860M and EIA-923",202001,44.5692,-92.516912,0,0,0,18
-94.0009,44.1967,6,1934,Wilmarth,Northern States Power Co - Minnesota,13781,Electric Utility,Mankato,Blue Earth,Minnesota,56001,800 Summit Ave,biomass,25,18,0,0,0,0,0,0,0,0,Biomass = 18 MW,Municipal Solid Waste,"EIA-860, EIA-860M and EIA-923",202001,44.1967,-94.0009,0,0,0,18
-92.540951,47.522428,7,2018,Virginia,City of Virginia - (MN),19883,Electric Utility,Virginia,St Louis,Minnesota,55792,618 2nd St South,biomass,26.2,25,0,0,0,0,0,0,0,0,Biomass = 25 MW,Wood/Wood Waste Biomass,"EIA-860, EIA-860M and EIA-923",202001,47.522428,-92.540951,0,0,0,25
-122.997361,43.96211,8,7413,Short Mountain,Emerald People's Utility Dist,40437,Electric Utility,Eugene,Lane,Oregon,97405,84777 Dillard Access Road,biomass,3.2,3.2,0,0,0,0,0,0,0,0,Biomass = 3.2 MW,Landfill Gas,"EIA-860, EIA-860M and EIA-923",202001,43.96211,-122.997361,0,0,0,3.2
-74.769146,40.153128,9,7690,Pennsbury,Exelon Power,6035,IPP Non-CHP,Morrisville,Bucks,Pennsylvania,19067,1414 Bordentown Rd,biomass,6,4,0,0,0,0,0,0,0,0,Biomass = 4 MW,Landfill Gas,"EIA-860, EIA-860M and EIA-923",202001,40.153128,-74.769146,0,0,0,4
-74.7506,40.1405,10,7701,Fairless Hills,Exelon Power,6035,IPP Non-CHP,Fairless Hills,Bucks,Pennsylvania,19030,990 South Port Road,biomass,60,60,0,0,0,0,0,0,0,0,Biomass = 60 MW,Landfill Gas,"EIA-860, EIA-860M and EIA-923",202001,40.1405,-74.7506,0,0,0,60
