X,Y,OBJECTID,Code,Power_Plant_Name,Utility_Name,Utility_ID,Sector_Name,City,County,State,Zip,Street_Address,PrimSource,Install_MW,Total_MW,Coal_MW,NG_MW,Crude_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Source_Desc,Technology_Desc,Data_Source,Period,Latitude,Longitude,Geoth_MW,Battery_MW,Others_MW,Biomass_MW
-93.569167,32.030556,1,51,Dolet Hills,Cleco Power LLC,3265,Electric Utility,Mansfield,DeSoto,Louisiana,71052,963 Power Plant Rd,coal,720.7,642.5,642.5,0,0,0,0,0,0,0,Coal = 642.5 MW,Conventional Steam Coal,"EIA-860, EIA-860M and EIA-923",202001,32.030556,-93.569167,0,0,0,0
-87.910747,31.488019,2,56,Charles R Lowman,PowerSouth Energy Cooperative,189,Electric Utility,Leroy,Washington,Alabama,36548,Carson Road,coal,538,554,554,0,0,0,0,0,0,0,Coal = 554 MW,Conventional Steam Coal,"EIA-860, EIA-860M and EIA-923",202001,31.488019,-87.910747,0,0,0,0
-98.348222,40.854765,3,59,Platte,City of Grand Island - (NE),40606,Electric Utility,Grand Island,Hall,Nebraska,68801,1035 W Wildwood Drive,coal,109.8,100,100,0,0,0,0,0,0,0,Coal = 100 MW,Conventional Steam Coal,"EIA-860, EIA-860M and EIA-923",202001,40.854765,-98.348222,0,0,0,0
-98.312437,40.580872,4,60,Whelan Energy Center,City of Hastings - (NE),8245,Electric Utility,Hastings,Adams,Nebraska,68902,4520 East South St.,coal,324.3,309,309,0,0,0,0,0,0,0,Coal = 309 MW,Conventional Steam Coal,"EIA-860, EIA-860M and EIA-923",202001,40.580872,-98.312437,0,0,0,0
-147.735063,64.847743,5,79,Aurora Energy LLC Chena,Aurora Energy LLC,986,IPP CHP,Fairbanks,Fairbanks North Star,Alaska,99701,1206 First Ave.,coal,27.5,25.7,25.7,0,0,0,0,0,0,0,Coal = 25.7 MW,Conventional Steam Coal,"EIA-860, EIA-860M and EIA-923",202001,64.847743,-147.735063,0,0,0,0
-108.082,35.4159,6,87,Escalante,"Tri-State G & T Assn, Inc",30151,Electric Utility,Prewitt,McKinley,New Mexico,87045,County Road 19,coal,257,253,253,0,0,0,0,0,0,0,Coal = 253 MW,Conventional Steam Coal,"EIA-860, EIA-860M and EIA-923",202001,35.4159,-108.082,0,0,0,0
-100.9725,37.9308,7,108,Holcomb,Sunflower Electric Power Corp,18315,Electric Utility,Holcomb,Finney,Kansas,67851,2440 Holcomb Lane,coal,348.7,358.8,358.8,0,0,0,0,0,0,0,Coal = 358.8 MW,Conventional Steam Coal,"EIA-860, EIA-860M and EIA-923",202001,37.9308,-100.9725,0,0,0,0
-110.3033,34.9394,8,113,Cholla,Arizona Public Service Co,803,Electric Utility,Joseph City,Navajo,Arizona,86032,4801 Cholla Lake Road,coal,839.9,767,767,0,0,0,0,0,0,0,Coal = 767 MW,Conventional Steam Coal,"EIA-860, EIA-860M and EIA-923",202001,34.9394,-110.3033,0,0,0,0
-99.1753,34.0825,9,127,Oklaunion,Public Service Co of Oklahoma,15474,Electric Utility,Oklaunion,Wilbarger,Texas,76373,12567 FM Rd 3430,coal,720,650,650,0,0,0,0,0,0,0,Coal = 650 MW,Conventional Steam Coal,"EIA-860, EIA-860M and EIA-923",202001,34.0825,-99.1753,0,0,0,0
-80.113235,33.371506,10,130,Cross,South Carolina Public Service Authority,17543,Electric Utility,Cross,Berkeley,South Carolina,29436,553 Cross Station Road,coal,2390.1,2350,2350,0,0,0,0,0,0,0,Coal = 2350 MW,Conventional Steam Coal,"EIA-860, EIA-860M and EIA-923",202001,33.371506,-80.113235,0,0,0,0
