X,Y,OBJECTID,Code,Power_Plant_Name,Utility_Name,Utility_ID,Sector_Name,City,County,State,Zip,Street_Address,PrimSource,Install_MW,Total_MW,Coal_MW,NG_MW,Crude_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Source_Desc,Technology_Desc,Data_Source,Period,Latitude,Longitude,Geoth_MW,Battery_MW,Others_MW,Biomass_MW
-91.1864,30.4922,1,1391,Louisiana 1,Entergy Louisiana LLC,11241,Industrial CHP,Baton Rouge,East Baton Rouge,Louisiana,70821,Gulf States Road,other,450.9,382.4,0,0,0,0,0,0,0,0,Other = 382.4 MW,Other Gases,"EIA-860, EIA-860M and EIA-923",202001,30.4922,-91.1864,0,0,382.4,0
-81.938787,27.76522,2,10004,Mosaic South Pierce Operations,Mosaic Fertilizer LLC,9383,Industrial CHP,Mulberry,Polk,Florida,33860,7450 CR 630,other,45.5,37,0,0,0,0,0,0,0,0,Other = 37 MW,All Other,"EIA-860, EIA-860M and EIA-923",202001,27.76522,-81.938787,0,0,37,0
-101.432004,35.66704,3,10072,Engineered Carbons Borger Cogen,Orion Engineered Carbons,55727,Industrial Non-CHP,Borger,Hutchinson,Texas,79007,Hwy 1559,other,20,18.8,0,0,0,0,0,0,0,0,Other = 18.8 MW,Other Gases,"EIA-860, EIA-860M and EIA-923",202001,35.66704,-101.432004,0,0,18.8,0
-93.7206,30.1525,4,10187,Engineered Carbons Echo Cogeneration,Orion Engineered Carbons,55727,Industrial Non-CHP,Orange,Orange,Texas,77630,1513 Echo Road,other,10,8.9,0,0,0,0,0,0,0,0,Other = 8.9 MW,Other Gases,"EIA-860, EIA-860M and EIA-923",202001,30.1525,-93.7206,0,0,8.9,0
-90.828312,30.038649,5,10198,Mosaic Phosphates Uncle Sam,Mosaic Phosphates Co.,9436,Industrial CHP,Uncle Sam,St James,Louisiana,70792,7250 Highway 44,other,26,26,0,0,0,0,0,0,0,0,Other = 26 MW,All Other,"EIA-860, EIA-860M and EIA-923",202001,30.038649,-90.828312,0,0,26,0
-82.3903,27.8605,6,10204,Mosaic Co Tampa Facility,Mosaic Company,3102,Industrial CHP,Riverview,Hillsborough,Florida,33578,8813 US Highway 301 South,other,72.4,68,0,0,0,0,0,0,0,0,Other = 68 MW,All Other,"EIA-860, EIA-860M and EIA-923",202001,27.8605,-82.3903,0,0,68,0
-87.1387,41.635,7,10245,ArcelorMittal Burns Harbor,ArcelorMittal Burns Harbor Inc,56147,Industrial CHP,Burns Harbor,Porter,Indiana,46304,US Highway 12,other,176.2,174.7,0,0,0,0,0,0,0,0,Other = 174.7 MW,Other Gases,"EIA-860, EIA-860M and EIA-923",202001,41.635,-87.1387,0,0,174.7,0
-87.452325,41.663765,8,10397,ArcelorMittal Indiana Harbor West,ArcelorMittal Indiana Harbor West,56165,Industrial CHP,East Chicago,Lake,Indiana,46312,3001 Dickey Rd.,other,152,74.2,0,0,0,0,0,0,0,0,Other = 74.2 MW,Other Gases,"EIA-860, EIA-860M and EIA-923",202001,41.663765,-87.452325,0,0,74.2,0
-81.6728,41.4739,9,10398,Arcelormittal Cleveland Inc,ArcelorMittal Cleveland Inc,9454,Industrial CHP,Cleveland,Cuyahoga,Ohio,44105,3060 Eggers Road,other,67,60,0,0,0,0,0,0,0,0,Other = 60 MW,Other Gases,"EIA-860, EIA-860M and EIA-923",202001,41.4739,-81.6728,0,0,60,0
-95.2103,29.2558,10,10418,Ascend Performance Materials Texas Inc.,Ascend Performance Materials,56488,Industrial CHP,Alvin,Brazoria,Texas,77512,FM RD 2917,other,52.1,47.7,0,0,0,0,0,0,0,0,Other = 47.7 MW,Other Gases,"EIA-860, EIA-860M and EIA-923",202001,29.2558,-95.2103,0,0,47.7,0
